USAGE_DATE,STORAGE_BYTES,STAGE_BYTES
2026-06-16,134778224357609,64137622608
2026-06-17,134883935058604,64136719865
2026-06-18,134955793270534,64135993182
2026-06-19,135041279258478,64138227294
2026-06-20,135124552896830,64141717841
2026-06-21,135217847459746,64141704865
2026-06-22,135435739191919,64168093581
2026-06-23,135752992782352,64213924588
2026-06-24,135579312398206,64215014349
2026-06-25,135577600138341,64238323697
2026-06-26,135662128706767,64284913738
2026-06-27,135752225314776,64285144542
2026-06-28,135826905788787,64285138732
2026-06-29,135937277277795,64295060123
2026-06-30,136012480550515,64325646316
2026-07-01,136150554056993,64359536527
2026-07-02,136208370208783,64475220823
2026-07-03,136277810823806,64597681351
2026-07-04,136369842805341,64596003968
2026-07-05,136459507619891,64596003968
2026-07-06,136552202665609,64599648591
2026-07-07,136643971618338,64652760171
2026-07-08,136740016259269,64839846777
2026-07-09,136826524203892,64875463106
2026-07-10,136906869885610,64876798157
2026-07-11,136994671134242,64876811824
2026-07-12,137068258159454,64876816228
2026-07-13,137171807513830,64876960276
2026-07-14,137247890674571,64878341420
2026-07-15,137353034226449,64888796908
2026-07-16,137417008994783,65022547308
2026-07-17,137543154690749,65023518724
2026-07-18,137612675701811,65023522192
2026-07-19,137733084068384,65023529063
2026-07-20,137800582066126,65026270244
2026-07-21,137895925701017,65025764933
2026-07-22,137977823021733,65025198476
2026-07-23,138068579470201,65030614101
2026-07-24,138156137782839,65031216237
2026-07-25,138228377726011,65031244857
2026-07-26,138336810292855,65031251616
2026-07-27,138405548406707,64961995186
2026-07-28,138504619933693,64946380730
2026-07-29,138586834609244,64946470489
2026-07-30,138667481495271,64946780446
2026-07-31,138763237637178,64946533403
2026-08-01,138892834569456,64946370495
2026-08-02,138956390925090,64946350708
2026-08-03,139051781734604,64946641722
2026-08-04,139128991116523,65088779146
2026-08-05,139213482702649,65183552375
2026-08-06,139279507436781,65306557300
2026-08-07,139422466443374,65366735032
2026-08-08,139487171057811,65366706718
2026-08-09,139605313266185,65366698162
2026-08-10,139680462293955,65366714587
2026-08-11,139822184071256,65364024602
2026-08-12,139909334314136,65362075788
2026-08-13,140011561129789,65362279432
2026-08-14,140055533254391,65362363026
2026-08-15,140147318170811,65362345238
2026-08-16,140243162188259,65362326418
2026-08-17,140355703476374,65362326418
2026-08-18,140440375761133,65362321615
2026-08-19,140523195083893,65362290043
2026-08-20,140644529771779,65362339987
2026-08-21,140806083928096,65362463340
2026-08-22,140836626336686,65362471672
2026-08-23,140878848778640,65362471672
2026-08-24,141258171144689,65362471672
2026-08-25,141112451404363,65362518062
2026-08-26,141140708266741,65362805101
2026-08-27,141227140306232,65363383058
2026-08-28,141407002859770,65363848673
2026-08-29,141463351415286,65364062124
2026-08-30,141488281191848,65364065528
2026-08-31,141644787719974,65364094550
2026-09-01,141851480179171,65364261081
2026-09-02,141954903036862,65364517743
2026-09-03,142010529599736,65364653353
2026-09-04,142131587857038,65365053381
2026-09-05,142232163900672,65365163909
2026-09-06,142376456731834,65364966997
2026-09-07,142515864454396,65364986635
2026-09-08,142635956037114,65356687669
2026-09-09,142749052301173,65107596202
2026-09-10,142869476781341,65105969223
2026-09-11,142965315201887,65106042243
2026-09-12,143083484534476,65103163138
2026-09-13,143205733903953,65102984440
2026-09-14,143331108765141,65103453786
