SERVICE_TYPE,USAGE_DATE,CREDITS_USED_COMPUTE,CREDITS_USED_CLOUD_SERVICES,CREDITS_USED,CREDITS_ADJUSTMENT_CLOUD_SERVICES,CREDITS_BILLED
TELEMETRY_DATA_INGEST,2026-06-23,0.000454416,0.000000000,0.000454416,0.0000000000,0.0004544160
TRUST_CENTER,2026-06-23,0.919810091,0.000000000,0.919810091,0.0000000000,0.9198100910
WAREHOUSE_METERING,2026-06-23,75.628611066,4.045996983,79.674608049,-4.0459969830,75.6286110660
AI_FUNCTIONS,2026-06-24,0.860625000,0.000000000,0.860625000,0.0000000000,0.8606250000
AI_INFERENCE,2026-06-24,0.014153110,0.000000000,0.014153110,0.0000000000,0.0141531100
AUTO_CLUSTERING,2026-06-24,0.000661675,0.000000000,0.000661675,0.0000000000,0.0006616750
CORTEX_AGENTS,2026-06-24,1.551084800,0.000000000,1.551084800,0.0000000000,1.5510848000
CORTEX_CODE_DESKTOP,2026-06-24,4.635967360,0.000000000,4.635967360,0.0000000000,4.6359673600
CORTEX_SEARCH,2026-06-24,0.000000958,0.000000000,0.000000958,0.0000000000,0.0000009580
PIPE,2026-06-24,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-06-24,0.000268208,0.000000000,0.000268208,0.0000000000,0.0002682080
TRUST_CENTER,2026-06-24,1.024553759,0.000000000,1.024553759,0.0000000000,1.0245537590
WAREHOUSE_METERING,2026-06-24,70.589166621,2.771118324,73.360284945,-2.7711183240,70.5891666210
AI_FUNCTIONS,2026-06-25,0.069499800,0.000000000,0.069499800,0.0000000000,0.0694998000
AI_INFERENCE,2026-06-25,0.000110550,0.000000000,0.000110550,0.0000000000,0.0001105500
AI_SERVICES,2026-06-25,0.067000000,0.000000000,0.067000000,0.0000000000,0.0670000000
AUTO_CLUSTERING,2026-06-25,0.003324689,0.000000000,0.003324689,0.0000000000,0.0033246890
CORTEX_AGENTS,2026-06-25,6.600409470,0.000000000,6.600409470,0.0000000000,6.6004094700
CORTEX_CODE_DESKTOP,2026-06-25,2.884293690,0.000000000,2.884293690,0.0000000000,2.8842936900
CORTEX_CODE_SNOWSIGHT,2026-06-25,1.290218440,0.000000000,1.290218440,0.0000000000,1.2902184400
