SERVICE_TYPE,USAGE_DATE,CREDITS_USED_COMPUTE,CREDITS_USED_CLOUD_SERVICES,CREDITS_USED,CREDITS_ADJUSTMENT_CLOUD_SERVICES,CREDITS_BILLED
WAREHOUSE_METERING,2025-09-01,56.982777735,1.925470899,58.908248634,-1.9254708990,56.9827777350
WAREHOUSE_METERING,2025-09-02,91.209444377,3.037184332,94.246628709,-3.0371843320,91.2094443770
WAREHOUSE_METERING,2025-09-03,101.079722170,3.238668889,104.318391059,-3.2386688890,101.0797221700
WAREHOUSE_METERING,2025-09-04,97.195833262,2.300545654,99.496378916,-2.3005456540,97.1958332620
WAREHOUSE_METERING,2025-09-05,76.153333270,2.107628628,78.260961898,-2.1076286280,76.1533332700
WAREHOUSE_METERING,2025-09-06,71.136666607,1.971937530,73.108604137,-1.9719375300,71.1366666070
WAREHOUSE_METERING,2025-09-07,85.857777710,2.081839406,87.939617116,-2.0818394060,85.8577777100
WAREHOUSE_METERING,2025-09-08,105.416944363,2.308284412,107.725228775,-2.3082844120,105.4169443630
WAREHOUSE_METERING,2025-09-09,101.418333268,2.421979142,103.840312410,-2.4219791420,101.4183332680
WAREHOUSE_METERING,2025-09-10,100.803888824,2.400983485,103.204872309,-2.4009834850,100.8038888240
WAREHOUSE_METERING,2025-09-11,101.122499917,2.173503456,103.296003373,-2.1735034560,101.1224999170
WAREHOUSE_METERING,2025-09-12,87.022222158,2.019735557,89.041957715,-2.0197355570,87.0222221580
WAREHOUSE_METERING,2025-09-13,73.572222177,1.971592650,75.543814827,-1.9715926500,73.5722221770
WAREHOUSE_METERING,2025-09-14,69.374166616,2.089096963,71.463263579,-2.0890969630,69.3741666160
WAREHOUSE_METERING,2025-09-15,88.006666600,2.313065564,90.319732164,-2.3130655640,88.0066666000
WAREHOUSE_METERING,2025-09-16,85.464444376,2.319546413,87.783990789,-2.3195464130,85.4644443760
WAREHOUSE_METERING,2025-09-17,92.576388825,2.275967462,94.852356287,-2.2759674620,92.5763888250
WAREHOUSE_METERING,2025-09-18,94.850833267,2.395998329,97.246831596,-2.3959983290,94.8508332670
WAREHOUSE_METERING,2025-09-19,88.137499926,2.162214967,90.299714893,-2.1622149670,88.1374999260
WAREHOUSE_METERING,2025-09-20,82.241666603,1.948548438,84.190215041,-1.9485484380,82.2416666030
WAREHOUSE_METERING,2025-09-21,85.332777720,2.106167392,87.438945112,-2.1061673920,85.3327777200
WAREHOUSE_METERING,2025-09-22,88.546388830,2.180548975,90.726937805,-2.1805489750,88.5463888300
WAREHOUSE_METERING,2025-09-23,91.452499932,2.226876103,93.679376035,-2.2268761030,91.4524999320
WAREHOUSE_METERING,2025-09-24,89.134166595,2.474644818,91.608811413,-2.4746448180,89.1341665950
TRUST_CENTER,2025-09-25,0.109816138,0.000000000,0.109816138,0.0000000000,0.1098161380
WAREHOUSE_METERING,2025-09-25,94.956111039,2.207667801,97.163778840,-2.2076678010,94.9561110390
TRUST_CENTER,2025-09-26,0.057296137,0.000000000,0.057296137,0.0000000000,0.0572961370
WAREHOUSE_METERING,2025-09-26,94.999444385,2.239384720,97.238829105,-2.2393847200,94.9994443850
TRUST_CENTER,2025-09-27,0.075540949,0.000000000,0.075540949,0.0000000000,0.0755409490
WAREHOUSE_METERING,2025-09-27,84.159166606,2.024045617,86.183212223,-2.0240456170,84.1591666060
TRUST_CENTER,2025-09-28,0.075651113,0.000000000,0.075651113,0.0000000000,0.0756511130
WAREHOUSE_METERING,2025-09-28,84.685555493,2.060569599,86.746125092,-2.0605695990,84.6855554930
TRUST_CENTER,2025-09-29,0.075489296,0.000000000,0.075489296,0.0000000000,0.0754892960
WAREHOUSE_METERING,2025-09-29,96.439166604,2.367902131,98.807068735,-2.3679021310,96.4391666040
TRUST_CENTER,2025-09-30,0.070490537,0.000000000,0.070490537,0.0000000000,0.0704905370
WAREHOUSE_METERING,2025-09-30,86.965555494,2.509936168,89.475491662,-2.5099361680,86.9655554940
TRUST_CENTER,2025-10-01,0.072740448,0.000000000,0.072740448,0.0000000000,0.0727404480
WAREHOUSE_METERING,2025-10-01,88.318333275,2.414684499,90.733017774,-2.4146844990,88.3183332750
TRUST_CENTER,2025-10-02,0.060844352,0.000000000,0.060844352,0.0000000000,0.0608443520
WAREHOUSE_METERING,2025-10-02,80.208888825,2.139102348,82.347991173,-2.1391023480,80.2088888250
TRUST_CENTER,2025-10-03,0.064487122,0.000000000,0.064487122,0.0000000000,0.0644871220
WAREHOUSE_METERING,2025-10-03,68.291666612,2.125863200,70.417529812,-2.1258632000,68.2916666120
TRUST_CENTER,2025-10-04,0.057949130,0.000000000,0.057949130,0.0000000000,0.0579491300
WAREHOUSE_METERING,2025-10-04,71.231388830,2.052689227,73.284078057,-2.0526892270,71.2313888300
TRUST_CENTER,2025-10-05,0.061814467,0.000000000,0.061814467,0.0000000000,0.0618144670
WAREHOUSE_METERING,2025-10-05,59.483333291,2.185709517,61.669042808,-2.1857095170,59.4833332910
TRUST_CENTER,2025-10-06,0.057188015,0.000000000,0.057188015,0.0000000000,0.0571880150
WAREHOUSE_METERING,2025-10-06,62.513333283,2.106150617,64.619483900,-2.1061506170,62.5133332830
TRUST_CENTER,2025-10-07,0.069533133,0.000000000,0.069533133,0.0000000000,0.0695331330
WAREHOUSE_METERING,2025-10-07,76.332222160,2.272865215,78.605087375,-2.2728652150,76.3322221600
TRUST_CENTER,2025-10-08,0.072065865,0.000000000,0.072065865,0.0000000000,0.0720658650
WAREHOUSE_METERING,2025-10-08,78.597499947,2.084004569,80.681504516,-2.0840045690,78.5974999470
TRUST_CENTER,2025-10-09,0.061583954,0.000000000,0.061583954,0.0000000000,0.0615839540
WAREHOUSE_METERING,2025-10-09,80.428888819,2.335269956,82.764158775,-2.3352699560,80.4288888190
TRUST_CENTER,2025-10-10,0.077868022,0.000000000,0.077868022,0.0000000000,0.0778680220
WAREHOUSE_METERING,2025-10-10,88.652222163,2.312163099,90.964385262,-2.3121630990,88.6522221630
TRUST_CENTER,2025-10-11,0.072111836,0.000000000,0.072111836,0.0000000000,0.0721118360
WAREHOUSE_METERING,2025-10-11,74.950277720,2.179799488,77.130077208,-2.1797994880,74.9502777200
TRUST_CENTER,2025-10-12,0.063807234,0.000000000,0.063807234,0.0000000000,0.0638072340
WAREHOUSE_METERING,2025-10-12,64.113888838,2.272580169,66.386469007,-2.2725801690,64.1138888380
TRUST_CENTER,2025-10-13,0.068315207,0.000000000,0.068315207,0.0000000000,0.0683152070
WAREHOUSE_METERING,2025-10-13,104.795555481,2.777121696,107.572677177,-2.7771216960,104.7955554810
TRUST_CENTER,2025-10-14,0.066692117,0.000000000,0.066692117,0.0000000000,0.0666921170
WAREHOUSE_METERING,2025-10-14,83.604999937,2.659930425,86.264930362,-2.6599304250,83.6049999370
TRUST_CENTER,2025-10-15,0.069800858,0.000000000,0.069800858,0.0000000000,0.0698008580
WAREHOUSE_METERING,2025-10-15,86.847222179,2.642113371,89.489335550,-2.6421133710,86.8472221790
TRUST_CENTER,2025-10-16,0.075211715,0.000000000,0.075211715,0.0000000000,0.0752117150
WAREHOUSE_METERING,2025-10-16,93.293611047,2.488701188,95.782312235,-2.4887011880,93.2936110470
TRUST_CENTER,2025-10-17,0.077078649,0.000000000,0.077078649,0.0000000000,0.0770786490
WAREHOUSE_METERING,2025-10-17,98.239722166,2.510687381,100.750409547,-2.5106873810,98.2397221660
TRUST_CENTER,2025-10-18,0.081293675,0.000000000,0.081293675,0.0000000000,0.0812936750
WAREHOUSE_METERING,2025-10-18,78.351388867,2.017630832,80.369019699,-2.0176308320,78.3513888670
TRUST_CENTER,2025-10-19,0.078086171,0.000000000,0.078086171,0.0000000000,0.0780861710
WAREHOUSE_METERING,2025-10-19,79.130833301,2.086095750,81.216929051,-2.0860957500,79.1308333010
TRUST_CENTER,2025-10-20,0.060059647,0.000000000,0.060059647,0.0000000000,0.0600596470
WAREHOUSE_METERING,2025-10-20,97.453055479,2.819835923,100.272891402,-2.8198359230,97.4530554790
TRUST_CENTER,2025-10-21,0.092285419,0.000000000,0.092285419,0.0000000000,0.0922854190
WAREHOUSE_METERING,2025-10-21,102.032222155,3.047343230,105.079565385,-3.0473432300,102.0322221550
TRUST_CENTER,2025-10-22,0.068533938,0.000000000,0.068533938,0.0000000000,0.0685339380
WAREHOUSE_METERING,2025-10-22,91.016666611,2.927944135,93.944610746,-2.9279441350,91.0166666110
TRUST_CENTER,2025-10-23,0.060367575,0.000000000,0.060367575,0.0000000000,0.0603675750
WAREHOUSE_METERING,2025-10-23,79.414722187,2.634862075,82.049584262,-2.6348620750,79.4147221870
TRUST_CENTER,2025-10-24,0.075743281,0.000000000,0.075743281,0.0000000000,0.0757432810
WAREHOUSE_METERING,2025-10-24,71.873055529,2.395860644,74.268916173,-2.3958606440,71.8730555290
TRUST_CENTER,2025-10-25,0.072632616,0.000000000,0.072632616,0.0000000000,0.0726326160
WAREHOUSE_METERING,2025-10-25,57.318888872,2.113966256,59.432855128,-2.1139662560,57.3188888720
TRUST_CENTER,2025-10-26,0.070232414,0.000000000,0.070232414,0.0000000000,0.0702324140
